category,product_id,product_name,product_url,image_url,price,store
birds,1,Pretty&Better Parrot Perch Shower Pet Bird Bath Cage Basin Parrot Bath Basin Parrot Shower Bowl Birds Accessories Parrot Toy,www.aliexpress.com/item/4001168887345.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-0&pdp_ext_f=%7B%22sku_id%22%3A%2210000015014052795%22%7D,//ae01.alicdn.com/kf/He9fdda955a2f4e27acb9e323656bbc01y/Pretty-Better-Parrot-Perch-Shower-Pet-Bird-Bath-Cage-Basin-Parrot-Bath-Basin-Parrot-Shower-Bowl.jpg_220x220xz.jpg_.webp,US $19.59,PrettyPet Store
birds,2,Pet Parrot Chewing Toys Wooden Hanging Cage Toys for Parrots Bird Funny Hanging Standing Toy Pet Training Toy Bird Accessories,www.aliexpress.com/item/32959397071.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-1&pdp_ext_f=%7B%22sku_id%22%3A%2266543796871%22%7D,//ae01.alicdn.com/kf/H85acbf8a9bf04f95a359fea13abdf303H/Pet-Parrot-Chewing-Toys-Wooden-Hanging-Cage-Toys-for-Parrots-Bird-Funny-Hanging-Standing-Toy-Pet.jpg_220x220xz.jpg_.webp,US $6.02,GlobeSuper Shopping Store
birds,3,Cute Pet Toys Hamster Parrot Steps Stairs Bird Swing Climbing Ladder Wooden Colorful Hanging Ladder Rainbow Suspension Bridge,www.aliexpress.com/item/32971757048.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-2&pdp_ext_f=%7B%22sku_id%22%3A%2212000021083711682%22%7D,//ae01.alicdn.com/kf/Hc486545cdd384d4086b9b7b9c3c81a2dd/Cute-Pet-Toys-Hamster-Parrot-Steps-Stairs-Bird-Swing-Climbing-Ladder-Wooden-Colorful-Hanging-Ladder-Rainbow.jpg_220x220xz.jpg_.webp,US $3.88,Global Life Steward Store
birds,4,10 Pack Bird Cage Toys for Parrots Reliable & Chewable - Swing Hanging Chewing Bite Bridge Wooden Beads Ball Bell Toys (in stock,www.aliexpress.com/item/1005001287274246.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-3&pdp_ext_f=%7B%22sku_id%22%3A%2212000015580345516%22%7D,//ae01.alicdn.com/kf/Hd6a7633591b743b0b9ba449e6e50447fK/10-Pack-Bird-Cage-Toys-for-Parrots-Reliable-Chewable-Swing-Hanging-Chewing-Bite-Bridge-Wooden-Beads.jpg_220x220xz.jpg_.webp,US $18.07,hanan life Store
birds,5,Realistic Bird Scarer Plastic Owl Scarecrow with Rotating Head and Sound for Garden Yard Bird Repellent Outdoor Pest Control,www.aliexpress.com/item/1005002458798723.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&aem_p4p_detail=20210820030756330719246545710005905954&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-4&pdp_ext_f=%7B%22sku_id%22%3A%2212000020962240915%22%7D,//ae01.alicdn.com/kf/H77a7200816864b6d9e871a227307d745t/Realistic-Bird-Scarer-Plastic-Owl-Scarecrow-with-Rotating-Head-and-Sound-for-Garden-Yard-Bird-Repellent.jpg_220x220xz.jpg_.webp,US $18.89,PESTS CONTROL Store
birds,6,Portable Clear Bird Cage Lightweight PVC Breathable Bird Parrots Cage Airy Travel Bag Easy Cleaning Pet Supply,www.aliexpress.com/item/33058863464.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-5&pdp_ext_f=%7B%22sku_id%22%3A%2212000015620509233%22%7D,//ae01.alicdn.com/kf/Hd20f41546ec8453d9019303b66d0717cU/Portable-Clear-Bird-Cage-Lightweight-PVC-Breathable-Bird-Parrots-Cage-Airy-Travel-Bag-Easy-Cleaning-Pet.jpg_220x220xz.jpg_.webp,US $36.48,Shopping Enjoyment Store
birds,7,S M European style decorative bird cage / window ornaments / white photography props / hotel wedding cage,www.aliexpress.com/item/4001268963760.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-6&pdp_ext_f=%7B%22sku_id%22%3A%2210000015535306091%22%7D,//ae01.alicdn.com/kf/H83cc9ff9c9ea4a5a914c3597d58a88c8y/S-M-European-style-decorative-bird-cage-window-ornaments-white-photography-props-hotel-wedding-cage.jpg_220x220xz.jpg_.webp,US $28.80,Surelife Store
birds,8,100Pcs Inner 2.7mm 3mm 4mm 4.5mm 5mm Bird Dove Pigeon Parrot Leg Rings Small Birds Foot Rings Bird Clip Ring,www.aliexpress.com/item/32812258732.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-7&pdp_ext_f=%7B%22sku_id%22%3A%2264669060863%22%7D,//ae01.alicdn.com/kf/HTB1r2k7RXXXXXa7XXXXq6xXFXXXy/100Pcs-Inner-2-7mm-3mm-4mm-4-5mm-5mm-Bird-Dove-Pigeon-Parrot-Leg-Rings-Small.jpg_220x220xz.jpg_.webp,US $11.83,Animal Mall
birds,9,Hot Sale Anti-bite Flying Training Rope Parrot Bird Pet Leash Kits Ultralight Harness Leash Soft Portable Pet Playthings,www.aliexpress.com/item/4000032740114.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-8&pdp_ext_f=%7B%22sku_id%22%3A%2210000013201906158%22%7D,//ae01.alicdn.com/kf/HTB1STT7bXP7gK0jSZFjq6A5aXXa2/Hot-Sale-Anti-bite-Flying-Training-Rope-Parrot-Bird-Pet-Leash-Kits-Ultralight-Harness-Leash-Soft.jpg_220x220xz.jpg_.webp,US $0.09,Youry Life Store
birds,10,CAITEC Parrot Spill Proof Feed Box Bird Food Box Parrot Food Container Bite Resistant Suitable for Small Birds Small Parrot,www.aliexpress.com/item/32829761998.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&aem_p4p_detail=20210820030756330719246545710005905954&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-9&pdp_ext_f=%7B%22sku_id%22%3A%2265098432367%22%7D,//ae01.alicdn.com/kf/H25067844525f4d08a7387e19c6a7bd51H/CAITEC-Parrot-Spill-Proof-Feed-Box-Bird-Food-Box-Parrot-Food-Container-Bite-Resistant-Suitable-for.jpg_220x220xz.jpg_.webp,US $24.05,CAITEC Official Store
birds,11,Yonntech Multifunctional Convenient Bird Cage Nest Hanging for Pigeon Parrot Mynah Birdcage la jaula volière,www.aliexpress.com/item/4000330151929.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-10&pdp_ext_f=%7B%22sku_id%22%3A%2212000016668385466%22%7D,//ae01.alicdn.com/kf/H1e9b6c19b2324c40b9178c77e22859ecN/Yonntech-Multifunctional-Convenient-Bird-Cage-Nest-Hanging-for-Pigeon-Parrot-Mynah-Birdcage-la-jaula-volière.jpg_220x220xz.jpg_.webp,US $58.53,Yonntech Official Store
birds,12,Home 3 Colors Soft Airy Fabric Mesh Bird Cage Cover Shell Skirt Seed Catcher Guard Easy Cleaning Nests,www.aliexpress.com/item/1005001483187011.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-11&pdp_ext_f=%7B%22sku_id%22%3A%2212000016292467339%22%7D,//ae01.alicdn.com/kf/H28d96d608223490a92a6c3f95dccfbdfG/Home-3-Colors-Soft-Airy-Fabric-Mesh-Bird-Cage-Cover-Shell-Skirt-Seed-Catcher-Guard-Easy.jpg_220x220xz.jpg_.webp,US $0.01,Goit Store
birds,13,"100 Pcs / lot Bird clip ring 2.7mm 3mm 4mm 4.5mm 5mm Plastic foot rings Colorful birds, Acacia birds pigeon All kinds of bird fo",www.aliexpress.com/item/32812114183.html?algo_pvid=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a&algo_exp_id=aab3a23c-ab0e-4e1e-856b-ac449f3b5e7a-12&pdp_ext_f=%7B%22sku_id%22%3A%2264578454683%22%7D,//ae01.alicdn.com/kf/HTB1gOz7RXXXXXa3aXXXq6xXFXXXE/100-Pcs-lot-Bird-clip-ring-2-7mm-3mm-4mm-4-5mm-5mm-Plastic-foot-rings.jpg_220x220xz.jpg_.webp,US $12.38,Adhere To Fly HappyFarm Store
